"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cell1:cell2","pvalue","avgExpr","cell1","cell2"
"CPI-SS003610FF9","CCL19_CXCR3","simple:Q99731","simple:P49682","ENSG00000172724","ENSG00000186810","True","False","True","guidetopharmacology.org","False",0.001,"Fibroblast|T Cells",0,0.706,"Fibroblast","T Cells"
"CPI-SS052127A00","NGF_NTRK1","simple:P01138","simple:P04629","ENSG00000134259","ENSG00000198400","True","False","True","curated","False",0.001,"Pericytes|Basophils",0,0.241,"Pericytes","Basophils"
"CPI-SS08E13FAF2","CCL11_ACKR2","simple:P51671","simple:O00590","ENSG00000172156","ENSG00000144648","True","False","True","curated","False",0.001,"Myofibroblast|Lymph Endothelium",0,0.155,"Myofibroblast","Lymph Endothelium"
"CPI-SS098EFF959","CCL19_CCR7","simple:Q99731","simple:P32248","ENSG00000172724","ENSG00000126353","True","False","True","curated","False",0.002,"Fibroblast|B Cells",0,0.769,"Fibroblast","B Cells"
"CPI-SS056BE1011","CCL19_CCRL2","simple:Q99731","simple:O00421","ENSG00000172724","ENSG00000121797","True","False","True","guidetopharmacology.org","False",0.002,"Fibroblast|Macrophages",0,0.743,"Fibroblast","Macrophages"
"CPI-SS098EFF959","CCL19_CCR7","simple:Q99731","simple:P32248","ENSG00000172724","ENSG00000126353","True","False","True","curated","False",0.002,"Fibroblast|T Cells",0,0.688,"Fibroblast","T Cells"
"CPI-SC069F9E62C","COL28A1_a11b1 complex","simple:Q2UY09","complex:a11b1 complex","ENSG00000215018","","True","False","False","curated","True",0.002,"Schwann Cells|Myofibroblast",0,0.683,"Schwann Cells","Myofibroblast"
"CPI-SS056BE1011","CCL19_CCRL2","simple:Q99731","simple:O00421","ENSG00000172724","ENSG00000121797","True","False","True","guidetopharmacology.org","False",0.002,"Fibroblast|Dendritic Cells",0,0.642,"Fibroblast","Dendritic Cells"
"CPI-SC0B4BD965C","COL9A3_a11b1 complex","simple:Q14050","complex:a11b1 complex","ENSG00000092758","","True","False","False","curated","True",0.002,"Schwann Cells|Myofibroblast",0,0.494,"Schwann Cells","Myofibroblast"
"CPI-SC03D71E025","COL7A1_a11b1 complex","simple:Q02388","complex:a11b1 complex","ENSG00000114270","","True","False","False","curated","True",0.002,"Podocytes|Myofibroblast",0,0.215,"Podocytes","Myofibroblast"
"CPI-SS0EDD4928A","NGF_NGFR","simple:P01138","simple:P08138","ENSG00000134259","ENSG00000064300","True","False","True","curated","False",0.002,"Pericytes|Pericytes",0,0.207,"Pericytes","Pericytes"
"CPI-SS0EDD4928A","NGF_NGFR","simple:P01138","simple:P08138","ENSG00000134259","ENSG00000064300","True","False","True","curated","False",0.002,"Pericytes|Schwann Cells",0,0.202,"Pericytes","Schwann Cells"
"CPI-SC07E958BDE","COL5A3_a11b1 complex","simple:P25940","complex:a11b1 complex","ENSG00000080573","","True","False","False","curated","True",0.002,"Schwann Cells|Myofibroblast",0,0.193,"Schwann Cells","Myofibroblast"
