"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cell1:cell2","pvalue","avgExpr","cell1","cell2"
"CPI-SS0EDD4928A","NGF_NGFR","simple:P01138","simple:P08138","ENSG00000134259","ENSG00000064300","True","False","True","curated","False",0.002,"Pericytes|Pericytes",0,0.207,"Pericytes","Pericytes"
"CPI-SS08B7D54A3","TNF_FAS","simple:P01375","simple:P25445","ENSG00000232810","ENSG00000026103","True","False","True","InnateDB-All","False",0.005,"Monocytes|Fibroblast",0,0.232,"Monocytes","Fibroblast"
"CPI-SS08B7D54A3","TNF_FAS","simple:P01375","simple:P25445","ENSG00000232810","ENSG00000026103","True","False","True","InnateDB-All","False",0.005,"Monocytes|Myofibroblast",0,0.198,"Monocytes","Myofibroblast"
"CPI-SS05D406038","GHRL_PTGIR","simple:Q9UBU3","simple:P43119","ENSG00000157017","ENSG00000160013","True","False","True","InnateDB-All","False",0.005,"Dendritic Cells|Fibroblast",0,0.193,"Dendritic Cells","Fibroblast"
"CPI-SS05D406038","GHRL_PTGIR","simple:Q9UBU3","simple:P43119","ENSG00000157017","ENSG00000160013","True","False","True","InnateDB-All","False",0.005,"Dendritic Cells|Pericytes",0,0.186,"Dendritic Cells","Pericytes"
"CPI-SS05D406038","GHRL_PTGIR","simple:Q9UBU3","simple:P43119","ENSG00000157017","ENSG00000160013","True","False","True","InnateDB-All","False",0.005,"Dendritic Cells|Myofibroblast",0,0.177,"Dendritic Cells","Myofibroblast"
"CPI-CS0EB5F7B6F","CLCF1_CNTF-1R","simple:Q9UBD9","complex:CNTF-1R","ENSG00000175505","","True","False","True","curated","False",0.005,"Injured Tubule|Fibroblast",0,0.134,"Injured Tubule","Fibroblast"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Myofibroblast|Myofibroblast",0,0.129,"Myofibroblast","Myofibroblast"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Fibroblast|Myofibroblast",0,0.118,"Fibroblast","Myofibroblast"
"CPI-CS05789C9A0","GDF7_ACR2A_BMR1A","simple:Q7Z4P5","complex:BMR1A_ACR2A","ENSG00000143869","","True","False","True","curated","False",0.005,"Injured Tubule|Myofibroblast",0,0.072,"Injured Tubule","Myofibroblast"
"CPI-SS048A2311A","TNF_RIPK1","simple:P01375","simple:Q13546","ENSG00000232810","ENSG00000137275","True","False","True","I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT","False",0.006,"Monocytes|Myofibroblast",0,0.151,"Monocytes","Myofibroblast"
"CPI-CS0533A30DC","INHBA_1B2A receptor_ACVR","simple:P08476","complex:ACVR_1B2A receptor","ENSG00000122641","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.28,"Myofibroblast","Myofibroblast"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Pericytes|Pericytes",0,0.205,"Pericytes","Pericytes"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Fibroblast|Pericytes",0,0.198,"Fibroblast","Pericytes"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Pericytes|Pericytes",0,0.155,"Pericytes","Pericytes"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.153,"Myofibroblast","Myofibroblast"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.153,"Myofibroblast","Myofibroblast"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Fibroblast|Pericytes",0,0.148,"Fibroblast","Pericytes"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Myofibroblast",0,0.141,"Fibroblast","Myofibroblast"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Myofibroblast",0,0.141,"Fibroblast","Myofibroblast"
"CPI-CS0533A30DC","INHBA_1B2A receptor_ACVR","simple:P08476","complex:ACVR_1B2A receptor","ENSG00000122641","","True","False","True","curated","False",0.007,"Podocytes|Myofibroblast",0,0.122,"Podocytes","Myofibroblast"
"CPI-SS05996C8FD","AGT_AGTR1","simple:P01019","simple:P30556","ENSG00000135744","ENSG00000144891","True","False","True","guidetopharmacology.org","False",0.01,"Pericytes|Pericytes",0,0.408,"Pericytes","Pericytes"
"CPI-SS05996C8FD","AGT_AGTR1","simple:P01019","simple:P30556","ENSG00000135744","ENSG00000144891","True","False","True","guidetopharmacology.org","False",0.01,"Injured Tubule|Pericytes",0,0.365,"Injured Tubule","Pericytes"
"CPI-SS05996C8FD","AGT_AGTR1","simple:P01019","simple:P30556","ENSG00000135744","ENSG00000144891","True","False","True","guidetopharmacology.org","False",0.01,"Pericytes|Fibroblast",0,0.139,"Pericytes","Fibroblast"
"CPI-SS05996C8FD","AGT_AGTR1","simple:P01019","simple:P30556","ENSG00000135744","ENSG00000144891","True","False","True","guidetopharmacology.org","False",0.01,"Injured Tubule|Fibroblast",0,0.097,"Injured Tubule","Fibroblast"
