"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cells","pvalue","avgExpr","cell1","cell2","pathway"
"CPI-CS046B3C139","BMP7_1A2A receptor_ACVR","simple:P18075","complex:ACVR_1A2A receptor","ENSG00000101144","","True","False","True","curated","False",0.03,"Myofibroblast|Myofibroblast",0,0.143,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS046BCFC6F","BMP5_BMPR2_BMPR1A","simple:P22003","complex:BMPR1A_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.033,"Myofibroblast|Myofibroblast",0,0.17,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Myofibroblast|Myofibroblast",0,0.129,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS05EAF93CC","BMP7_BMPR2_BMPR1A","simple:P18075","complex:BMPR1A_BMPR2","ENSG00000101144","","True","False","True","curated","False",0.133,"Myofibroblast|Myofibroblast",0,0.16,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS08CC8F9D3","BMP7_BMPR2_ACVR1","simple:P18075","complex:ACVR1_BMPR2","ENSG00000101144","","True","False","True","curated","False",0.03,"Myofibroblast|Myofibroblast",0,0.143,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS091BF99D0","INHBA_1A2A receptor_ACVR","simple:P08476","complex:ACVR_1A2A receptor","ENSG00000122641","","True","False","True","curated","False",0.011,"Myofibroblast|Myofibroblast",0,0.304,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS0D35E69F6","BMP7_ACR2A_BMR1A","simple:P18075","complex:BMR1A_ACR2A","ENSG00000101144","","True","False","True","curated","False",0.021,"Myofibroblast|Myofibroblast",0,0.119,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.153,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.153,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-SC0984894BC","TGFB1_TGFbeta receptor2","simple:P01137","complex:TGFbeta receptor2","ENSG00000105329","","True","False","True","curated","False",0.033,"Myofibroblast|Myofibroblast",0,0.204,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-SC098C06330","TGFB1_TGFbeta receptor1","simple:P01137","complex:TGFbeta receptor1","ENSG00000105329","","True","False","True","curated","False",0.152,"Myofibroblast|Myofibroblast",0,0.197,"Myofibroblast","Myofibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-SS0055264F3","TGFB1_EGFR","simple:P01137","simple:P00533","ENSG00000105329","ENSG00000146648","True","False","True","IMEx,InnateDB-All,MINT","False",0.126,"Myofibroblast|Myofibroblast",0,0.244,"Myofibroblast","Myofibroblast","MIXED:REACTOME_SIGNALING_BY_EGFR+KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-SS0472C478C","BMP7_PTPRK","simple:P18075","simple:Q15262","ENSG00000101144","ENSG00000152894","True","False","True","InnateDB-All","False",0.099,"Myofibroblast|Myofibroblast",0,0.119,"Myofibroblast","Myofibroblast","MIXED:KEGG_TGF_BETA_SIGNALING_PATHWAY+REACTOME_SIGNALING_BY_EGFR"
"CPI-SS060B82BBC","JAG1_NOTCH2","simple:P78504","simple:Q04721","ENSG00000101384","ENSG00000134250","False","False","True","curated","False",0.203,"Myofibroblast|Myofibroblast",0,0.263,"Myofibroblast","Myofibroblast","KEGG_NOTCH_SIGNALING_PATHWAY"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Myofibroblast|Myofibroblast",0,0.479,"Myofibroblast","Myofibroblast","PDGF_pathway"
"CPI-SS0B99F22A2","JAG1_NOTCH3","simple:P78504","simple:Q9UM47","ENSG00000101384","ENSG00000074181","False","False","True","curated","False",0.092,"Myofibroblast|Myofibroblast",0,0.2,"Myofibroblast","Myofibroblast","KEGG_NOTCH_SIGNALING_PATHWAY"
"CPI-CS046BCFC6F","BMP5_BMPR2_BMPR1A","simple:P22003","complex:BMPR1A_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.033,"Fibroblast|Fibroblast",0,0.155,"Fibroblast","Fibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-CS05EAF93CC","BMP7_BMPR2_BMPR1A","simple:P18075","complex:BMPR1A_BMPR2","ENSG00000101144","","True","False","True","curated","False",0.133,"Fibroblast|Fibroblast",0,0.173,"Fibroblast","Fibroblast","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"CPI-SS060B82BBC","JAG1_NOTCH2","simple:P78504","simple:Q04721","ENSG00000101384","ENSG00000134250","False","False","True","curated","False",0.203,"Fibroblast|Fibroblast",0,0.214,"Fibroblast","Fibroblast","KEGG_NOTCH_SIGNALING_PATHWAY"
