genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000099194.5;SCD,SCD,-2.78070729936402,9.84374716502956,-72.7112950832235,2.48058743680608e-19,2.41162710606287e-15,34.6665497019717
ENSG00000115461.4;IGFBP5,IGFBP5,-5.10258127745203,7.95799697674089,-83.0712276517855,3.91569608962216e-20,7.61367947666133e-16,34.5997618628654
ENSG00000113140.10;SPARC,SPARC,-2.38821811772785,9.6645527041465,-70.3554144717283,3.91496285014513e-19,2.53741792194073e-15,34.2872216064279
ENSG00000136758.18;YME1L1,YME1L1,-2.8274008515652,9.64211824005634,-59.7160995261002,3.7902017408976e-18,1.47393365300026e-14,32.0663203616184
ENSG00000204262.12;COL5A2,COL5A2,-2.94140504811345,9.07752777982967,-59.8867198245865,3.6434649873182e-18,1.47393365300026e-14,32.06095678006
ENSG00000103485.17;QPRT,QPRT,-2.82991669366818,7.89250725034592,-56.3769763896929,8.40260137774511e-18,2.7230030198146e-14,31.0314271894987
ENSG00000130635.15;COL5A1,COL5A1,-2.63039221621164,8.12502813132963,-55.1273991661541,1.14565064471863e-17,3.18229016227271e-14,30.8914284117243
ENSG00000099250.17;NRP1,NRP1,-3.48945844323457,9.43099795003261,-54.1520229801805,1.46644575164691e-17,3.56419639937781e-14,30.7029137979982
ENSG00000170759.10;KIF5B,KIF5B,-2.30842994327501,10.13361760559,-53.2877385367642,1.83180945669346e-17,3.95752256399417e-14,30.5554933544869
ENSG00000120539.14;MASTL,MASTL,-2.65323839866627,8.04480564670835,-52.6910754850211,2.14036951672928e-17,4.16173448832842e-14,30.2319558087624
ENSG00000077420.15;APBB1IP,APBB1IP,-3.57702371674725,7.89498830347905,-51.6779298995236,2.79927535655488e-17,4.94810091207756e-14,29.8526691176873
ENSG00000148498.15;PARD3,PARD3,-3.06488000245101,8.13336941885322,-50.4193708742401,3.93576102025311e-17,6.37724477315013e-14,29.6300607916985
ENSG00000136754.17;ABI1,ABI1,-2.63807118739706,7.4997518314216,-49.8498341498532,4.60470116298422e-17,6.88721610869732e-14,29.4320969828311
ENSG00000107897.18;ACBD5,ACBD5,-2.78404930393519,7.58099339786105,-49.1395658262721,5.61445655965364e-17,7.7976780961361e-14,29.2362226724621
ENSG00000150093.18;ITGB1,ITGB1,-2.97769641469298,11.8241453064058,-47.8562055953536,8.09207018240262e-17,1.04894808417758e-13,28.9907789455523
ENSG00000096696.13;DSP,DSP,2.58735720652673,6.60163950384555,47.3829714450033,9.28246642147078e-17,1.12805173186924e-13,28.8330096053592
