genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000101825.7;MXRA5,MXRA5,-2.36012397720507,3.81670586649899,-33.115939058796,1.28970725101051e-14,1.25385338943242e-10,23.7535746410564
ENSG00000087245.12;MMP2,MMP2,-2.88835302569251,4.98418853251821,-30.9873449245038,3.20786365283034e-14,1.79751356079094e-10,23.0519722924034
ENSG00000166963.12;MAP1A,MAP1A,-2.7658461991381,2.68379171041344,-30.6675488273293,3.69782670395175e-14,1.79751356079094e-10,22.2910777278632
ENSG00000113140.10;SPARC,SPARC,-0.698264385662855,9.6645527041465,-29.6691266499766,5.81810719726482e-14,2.26254552687234e-10,22.2869093647005
ENSG00000060718.21;COL11A1,COL11A1,-2.02880335776743,1.41327023167377,-28.8759492441227,8.42934019828857e-14,2.73166818025872e-10,21.7595122132734
ENSG00000166923.10;GREM1,GREM1,-1.27295734490675,6.63564795003034,-26.8828058602821,2.23926372474725e-13,5.44253048299818e-10,21.1560602008585
ENSG00000103888.16;CEMIP,CEMIP,-2.11085939089361,3.09859166971112,-27.0647788571057,2.04232855331046e-13,5.44253048299818e-10,21.1287077388946
ENSG00000275216.2;AL161431.1,AL161431.1,5.28441063161827,4.60295988793686,37.2678331336092,2.54365776455821e-15,4.94588815740698e-11,20.9921999403529
ENSG00000118898.15;PPL,PPL,-1.89978670519926,4.31958334910423,-25.1177418200317,5.64953108134153e-13,1.052767602755e-09,20.1920037414717
ENSG00000188064.9;WNT7B,WNT7B,1.51889048935211,5.4775495066671,25.020485867146,5.95579285656502e-13,1.052767602755e-09,20.1306958862807
ENSG00000253873.5;PCDHGA11,PCDHGA11,-2.02825979501164,2.75541493201898,-24.7305475897037,6.97911918192864e-13,1.1308499447785e-09,19.6683210831576
ENSG00000130707.17;ASS1,ASS1,-3.49618521381233,2.32184870974091,-26.4062945617751,2.85788576233829e-13,6.17430341810063e-10,19.651162649643
ENSG00000134321.11;RSAD2,RSAD2,-1.1204095506735,6.00226435659745,-23.573834894176,1.3379582304325e-12,1.85823284518068e-09,19.3624052414453
ENSG00000133687.15;TMTC1,TMTC1,-1.13737508928131,5.29133062826836,-23.1343828117602,1.72706254894607e-12,1.99541754661891e-09,19.1145913184901
ENSG00000137801.10;THBS1,THBS1,0.847148559669838,8.90317898134574,23.4006846171937,1.47872677198169e-12,1.91682422362746e-09,19.0761126503033
ENSG00000130635.15;COL5A1,COL5A1,-0.749345885619856,8.12502813132963,-23.1171471511082,1.74460493172811e-12,1.99541754661891e-09,18.8954578541362
ENSG00000116791.13;CRYZ,CRYZ,1.20310678618541,5.24039369580478,22.5973801516422,2.37432268870924e-12,2.42980686101382e-09,18.8005325648088
ENSG00000169432.15;SCN9A,SCN9A,1.17024188988004,6.18799609773315,22.6313478680805,2.32650447477706e-12,2.42980686101382e-09,18.7893892159888
ENSG00000166033.12;HTRA1,HTRA1,-1.28512371259824,4.10870471227617,-21.7782324251133,3.91318221453141e-12,3.14435280431491e-09,18.2929403346383
ENSG00000125740.13;FOSB,FOSB,-1.29649879938339,4.98630325083882,-21.5532955359259,4.50266006088622e-12,3.14435280431491e-09,18.1646120520606
ENSG00000124212.5;PTGIS,PTGIS,-1.0129997911359,5.5584695525719,-21.5509738560139,4.50921842364347e-12,3.14435280431491e-09,18.1089789355134
ENSG00000111799.20;COL12A1,COL12A1,-0.607217652889899,10.1303705153678,-22.1897462948101,3.03788327802465e-12,2.81279059323387e-09,18.0971097597104
ENSG00000163430.11;FSTL1,FSTL1,-0.642333966165454,10.0659923293878,-22.1128538633423,3.18397421221988e-12,2.81405429920015e-09,18.0592190031621
ENSG00000146674.14;IGFBP3,IGFBP3,-0.920925408481331,5.34372191585921,-21.4403556949341,4.83385492005173e-12,3.14435280431491e-09,18.0478854196184
ENSG00000137959.15;IFI44L,IFI44L,-1.11039576511669,7.08836816422273,-21.4346062053807,4.85139807289896e-12,3.14435280431491e-09,17.9645423101023
ENSG00000157601.13;MX1,MX1,-0.634836162831295,9.10463296416827,-21.7753245492022,3.92025262664139e-12,3.14435280431491e-09,17.9638969411856
ENSG00000106538.9;RARRES2,RARRES2,-2.44126122437513,2.1490886359764,-21.6048061605341,4.35974559817089e-12,3.14435280431491e-09,17.7691067572802
ENSG00000143382.14;ADAMTSL4,ADAMTSL4,-2.15807005491586,3.56821275042504,-20.8751828663538,6.93244839660843e-12,4.19392688670984e-09,17.6674729288
ENSG00000087116.15;ADAMTS2,ADAMTS2,-2.54356532310632,2.36244042020413,-20.7882966112873,7.33354835158068e-12,4.19392688670984e-09,17.5403573827013
ENSG00000112414.14;ADGRG6,ADGRG6,1.97866735279916,6.17284649353306,20.5033751926949,8.83278941121061e-12,4.90699306604512e-09,17.4952097237453
ENSG00000154237.12;LRRK1,LRRK1,1.60005350700532,5.67479465550377,20.4150052541815,9.36198587108209e-12,5.05651259103667e-09,17.4371201799816
ENSG00000275410.4;HNF1B,HNF1B,3.00535725808885,3.52063819383339,20.8853869891908,6.88690526963468e-12,4.19392688670984e-09,17.2633139451336
