"","Activity","Pvalue"
"Androgen",1.10110279665272,0.270851920006546
"EGFR",4.85087387600203,1.22918694400731e-06
"Estrogen",-0.857615483704229,0.391104822324069
"Hypoxia",-0.817371843119442,0.413715961558549
"JAK-STAT",-19.8576287074241,9.46763881225154e-88
"MAPK",10.4555401674199,0
"NFkB",1.70224859741761,0.0887087762194321
"p53",-1.52376520500829,0.127567374374223
"PI3K",2.56487929885,0.0103211702015116
"TGFb",-4.82428905183133,1.40503531907185e-06
"TNFa",1.36403501330688,0.172556546185857
"Trail",-0.407849167552499,0.683384414005502
"VEGF",1.36217063239179,0.173144041603806
"WNT",-0.0978676101676441,0.922037419825685
