"","Activity","Pvalue","FDR"
"Androgen",-0.227896178625791,0.819726953578045,0.860713301256948
"EGFR",4.44540489085708,8.77264859533433e-06,3.07042700836702e-05
"Estrogen",-1.09267169348074,0.274537972354437,0.411806958531655
"Hypoxia",-0.596265896521638,0.550997609883869,0.642830544864514
"JAK-STAT",11.4032069281079,0,0
"MAPK",9.91526299614018,0,0
"NFkB",6.21172490905905,5.24061238849072e-10,3.14436743309443e-09
"p53",-10.0946812956529,5.8320205754865e-24,4.08241440284055e-23
"PI3K",-4.24521123570084,2.18387588541689e-05,7.05559901442381e-05
"TGFb",-0.036698095834827,0.970725726925668,0.970725726925668
"TNFa",5.25042384489006,1.51749633081621e-07,7.96685573678513e-07
"Trail",1.56245834654915,0.118180051157754,0.255134748748446
"VEGF",0.997932017396309,0.31831232516039,0.461004057128841
"WNT",-1.53634275846375,0.124454337779764,0.255134748748446
