,logFC,AveExpr,t,P.Value,adj.P.Val,B
STAT2,-11.1610157376228,0.81813165642169,-21.9765081803116,8.72979446028543e-12,2.53164039348277e-09,15.3644476362159
IRF9,-7.01494048084368,0.510465290200698,-18.3504930860238,8.79449819497716e-11,1.27520223827169e-08,13.8422742043413
IRF1,-6.94378265953087,0.588784334770204,-15.6551612117078,6.57034214985727e-10,6.35133074486203e-08,12.358832670558
MEF2C,-7.37878167774549,0.541338759830504,-14.3118733640832,2.01942800721454e-09,1.46408530523054e-07,11.4727923492747
TEAD4,-7.23100150105406,0.67029751441526,-12.3115355101518,1.29453119025471e-08,7.5082809034773e-07,9.92658260943621
SREBF1,-4.94791281195329,0.503778621259285,-12.013532265235,1.74523245483656e-08,8.43529019837672e-07,9.66952149335938
BHLHE22,4.64822266271958,-0.437723168592206,10.9080787839834,5.59703034857122e-08,2.31876971583665e-06,8.64678446307708
SOX6,-4.43260059762304,0.39194353030628,-10.423011490721,9.62527816565213e-08,3.4891633350489e-06,8.16091903497633
RUNX2,-5.46148132382561,0.649421054576614,-10.0101928260956,1.55167492116662e-07,4.68008911318183e-06,7.72812533948158
TEAD1,-9.97577392830546,0.993070456076715,-9.97682565539349,1.61382383213167e-07,4.68008911318183e-06,7.69233951260547
NR2F1,-6.86100701799115,0.520673739644484,-9.89269878206757,1.78260782877559e-07,4.6996024576811e-06,7.60156946355042
ESR1,-4.54882146797716,0.27482484528861,-9.75505384236224,2.10067225446026e-07,5.07662461494562e-06,7.45135466663378
SIX2,-4.10795799382213,0.593884808987745,-9.5705165432627,2.62532271773819e-07,5.8564891395698e-06,7.24659987581206
MTA3,4.21352201050898,-0.499353379181848,9.34935296657259,3.44449901659752e-07,6.83540003641589e-06,6.9960185712413
JUNB,-5.41451587482815,0.471102588562348,-9.32831147816481,3.53555174297373e-07,6.83540003641589e-06,6.97187874169497
IKZF1,-4.3468996061309,0.314055879445841,-8.83791035401173,6.57857208892074e-07,1.19236619111688e-05,6.39410637636003
SOX2,-8.54448094789582,0.761009713249379,-8.74108634766897,7.45890878836755e-07,1.27240208742741e-05,6.27651585664734
FOXP2,3.81158007567537,-0.202803197127577,8.54031349803318,9.70929438588674e-07,1.50445337637488e-05,6.02887851015631
EBF1,-5.31859382259828,0.737713368189881,-8.52893657490481,9.85676350038712e-07,1.50445337637488e-05,6.01469062378445
SOX13,-4.9462856974916,0.559597677655068,-8.34298356889009,1.26366053799202e-06,1.75931380560278e-05,5.78039770762083
MYB,-3.70142052792774,0.106976424659163,-8.33694162219172,1.2739858592296e-06,1.75931380560278e-05,5.77270884445953
SREBF2,-2.94457393443816,0.32723669689229,-8.17748287018944,1.58159398433559e-06,2.08482843389691e-05,5.56802862273505
BCL11A,-3.75308899895322,0.345657472612185,-8.09788400821483,1.76384838014063e-06,2.22398274017731e-05,5.46457928048775
IRF4,-4.34901771006721,0.49928914746394,-7.97424090585184,2.09255445256452e-06,2.52011854970526e-05,5.30218212805258
BATF,-3.57055394680068,0.420473372735294,-7.94728193796063,2.17251599112523e-06,2.52011854970526e-05,5.26649551624003
POU2F2,-3.71199529835476,0.365675349120727,-7.58812817629416,3.61049053859449e-06,3.84953765377136e-05,4.78143058505896
CTCF,-3.51393353190947,0.11930261963507,-7.57088886432503,3.70107377453472e-06,3.84953765377136e-05,4.75769103163979
NEUROD1,-4.29379517157331,0.35759252976464,-7.54871027938516,3.82116839115143e-06,3.84953765377136e-05,4.72708758704037
MXI1,4.38762210145706,-0.470154443509982,7.54357903160541,3.84953765377136e-06,3.84953765377136e-05,4.71999717400346
IRF2,-4.99767300748361,0.24572120048776,-7.49525591834422,4.12791794528876e-06,3.9903206804458e-05,4.65303932692995
ZNF274,-3.89853750909829,0.472893006532839,-7.37953737964988,4.8849633594429e-06,4.56980443302722e-05,4.49133477890538
GATA3,-3.68883648073346,0.347094242463191,-7.21321657011489,6.24113825456012e-06,5.65603154319511e-05,4.25552480183358
