,logFC,AveExpr,t,P.Value,adj.P.Val,B
IRF9,-4.46974108496487,0.510465290200698,-13.5012967541819,4.16447920561433e-09,6.76305741332283e-07,11.1216858157634
STAT2,-5.88396835570814,0.81813165642169,-13.3781070024929,4.66417752642954e-09,6.76305741332283e-07,11.0221724991764
STAT1,-5.48166713420925,-0.0176941667401327,-12.9269247647512,7.11960327310826e-09,6.88228316400465e-07,10.6481847470355
HNF1B,3.29716313441279,0.284812972763262,8.86793168630228,6.32861272632715e-07,4.58824422658719e-05,6.47349203315549
ATF4,-3.5420037928247,-0.312135515390657,-8.30120941447931,1.3369119141169e-06,7.75408910187802e-05,5.74933767556255
SRF,-3.14247675110985,0.0891856502717621,-8.07815708665757,1.81238185756425e-06,8.75984564489385e-05,5.45301109322661
MEF2C,-3.54741792510178,0.541338759830504,-7.94499354313893,2.17945124076234e-06,9.02915514030111e-05,5.27296070582094
FOXP2,2.87563116011798,-0.202803197127577,7.43997222501867,4.47277542553634e-06,0.000162138109175692,4.56819440552066
CREB1,-3.52726017236356,-0.325228923601156,-6.93500546965268,9.47805584086014e-06,0.000275436569034783,3.82768758611104
ELK1,-2.4851952783009,-0.100143771349388,-6.89609628741723,1.0056531703815e-05,0.000275436569034783,3.76910550635232
IRF1,-2.63934479865636,0.588784334770204,-6.87111034138926,1.04475939978711e-05,0.000275436569034783,3.73137013746402
FOXO4,-3.0901741405914,0.0454868438338933,-6.73490086062515,1.2881642711689e-05,0.000311306365532483,3.52405364955661
IRF2,-3.8118467597202,0.24572120048776,-6.60120819645378,1.58597834297679e-05,0.0003537951688179,3.31791991807177
MYB,-2.49876638430801,0.106976424659163,-6.49880273129573,1.86292675840676e-05,0.000385891971384257,3.15824385837611
TBX21,-2.98349936178459,0.0611523905417907,-6.23661259921648,2.83137674380248e-05,0.000547399503801812,2.7423469090665
ARNTL,-2.10958158437121,-0.00893799022134183,-6.10508224123149,3.50551418639427e-05,0.000635374446283962,2.52986810012929
ESR1,-2.33942426508048,0.27482484528861,-5.79307481581631,5.87429006978499e-05,0.00100208477661038,2.01560744878794
TCF7,-2.33726641899286,0.0840300090199158,-5.48624197477039,9.88976850960097e-05,0.00159335159321349,1.49599617310964
MYCN,-1.88965112807964,-0.199552288540639,-5.33824078877879,0.000127742435314698,0.00194975296006645,1.24054604915673
CTCF,-2.09183925544152,0.11930261963507,-5.20416437928866,0.000161492727784643,0.00226144718627215,1.00649489785484
ATF2,-2.08038145937405,0.0679002135264788,-5.19623508799528,0.000163759968661087,0.00226144718627215,0.992575936907012
CLOCK,-2.01047903760478,0.0499342557913131,-5.02054382510793,0.000223515193029395,0.00294633663538748,0.68200817980508
ELF3,2.53206335624524,0.171507239404543,4.98681001227697,0.000237383941021058,0.00299310186504812,0.621912033751623
KLF3,-2.13847583311909,-0.0881751290733853,-4.92187356847977,0.000266661948678697,0.00322216521320093,0.505817419834947
PROX1,-2.2806852449304,0.17026447465791,-4.89685995221011,0.000278921006606691,0.00322921738665488,0.460954872801765
PPARG,-1.96136409887937,-0.058947400691039,-4.87614606065372,0.000289516041562161,0.00322921738665488,0.423744614623045
BACH2,-2.00266067202483,-0.00965361997893904,-4.84530218635503,0.000306074306386337,0.00328746477229769,0.368238118491298
ETV4,-1.94251903568723,-0.122799549281694,-4.81173033202082,0.000325220304788324,0.00336835315673622,0.307689319282431
TAF1,-2.70906841549887,-0.0218281545647106,-4.72700497311064,0.000379275901837114,0.00379275901837114,0.154277081458295
SPI1,-2.28443453730259,0.171877164675482,-4.69709319989735,0.000400519839325027,0.00387169178014193,0.0999129260768923
CREM,-2.07188223590182,0.00493730843876661,-4.67658386415581,0.000415796308965478,0.00388970740645124,0.0625775474759029
SOX6,-1.68632194555192,0.39194353030628,-4.57872411080351,0.000497457626610459,0.00450820974115728,-0.116223673998125
MEF2B,-1.89204140270774,0.0760636096349849,-4.43977235139971,0.000642957967594374,0.00565023668492025,-0.371886108198821
BCL6,1.83092301966707,-0.0617331276870497,4.36524377858073,0.00073848875281495,0.00625250468123904,-0.50982184593522
NFIC,1.95083279227967,0.209675971269842,4.35365335414866,0.000754612633942642,0.00625250468123904,-0.531321180569569
USF1,-2.48828082072353,0.311806549192338,-4.06582829626385,0.00129604150315356,0.0104403343309592,-1.06893171142301
TEAD2,-2.06728915288322,0.224207912917105,-4.0327958836509,0.00137975535589972,0.01075381791803,-1.13103600963483
E2F1,1.7794646170275,0.150901170459978,4.00930440058272,0.00144264625438406,0.01075381791803,-1.17524578641913
LHX2,1.80770572762368,0.278786403789803,4.00800734816114,0.00144620309932127,0.01075381791803,-1.17768779157333
SP3,-1.82208492015627,0.0186379013675941,-3.95285456014506,0.00160606172791603,0.0116439475273912,-1.28162000974482
IKZF1,-1.66258579970821,0.314055879445841,-3.90322347555847,0.0017653537736275,0.0124170339029801,-1.37529404147968
JUNB,-1.95458907922997,0.471102588562348,-3.88837591047696,0.00181607974679827,0.0124170339029801,-1.40334235218925
SOX9,1.90654472196451,0.0365768172337595,3.88119456772045,0.00184114640630394,0.0124170339029801,-1.41691241541502
JUN,-1.64316617979552,-0.219032736505834,-3.808018850193,0.0021176270464848,0.0139570873518317,-1.55532087378953
FOS,-1.52652180050784,0.139422349790221,-3.7908383878173,0.0021884672193608,0.0141034554136585,-1.58784906912252
SMAD1,-1.31477322968417,0.124257101993218,-3.69349007635699,0.00263802140037209,0.0166310044806067,-1.77234695858321
TWIST1,-1.45141772723201,0.00497694545146793,-3.67667085499163,0.00272473019603187,0.0168121650393456,-1.80424968319795
GRHL2,1.26627461026517,0.340337254923636,3.65187319646465,0.0028578835305841,0.0172663796639456,-1.8512967529782
NEUROD1,-1.78386475726477,0.35759252976464,-3.62128518498032,0.00303127199993692,0.0179401812241165,-1.90934434365341
REL,-1.3470283034058,-0.318343042816116,-3.50933556465162,0.00376204060446358,0.0218198355058888,-2.12186680726387
STAT3,-1.93043188581653,0.296283837900835,-3.47691009372275,0.00400531609069023,0.0227753267901993,-2.18342263272003
OTX2,-1.77819664835255,0.20932329562239,-3.40397744319721,0.00461217785690966,0.0257217611250731,-2.3218308628069
VDR,-1.45650257047786,0.127414783309789,-3.30499874351954,0.00558672603190625,0.0305688782877889,-2.50946587115845
BHLHE22,1.21101292506983,-0.437723168592206,3.28155349855255,0.00584640664484076,0.0309261805519959,-2.55386009438296
