,Top,p.value,FDR,summary.AUC,AUC.NKD2_neg
TGFb,1,4.56209723542342e-169,6.38693612959268e-168,0.669263288124781,0.669263288124781
Androgen,2,1.25704617167242e-46,8.79932320170691e-46,0.587568310363011,0.587568310363011
TNFa,3,2.52425827439789e-43,1.17798719471901e-42,0.584283659895066,0.584283659895066
WNT,4,1.28403850854704e-41,4.49413477991459e-41,0.582535915294213,0.582535915294213
MAPK,5,4.03101179942899e-40,1.12868330384011e-39,0.580972136905192,0.580972136905192
EGFR,6,4.96504342674234e-40,1.15851013290654e-39,0.580876621393151,0.580876621393151
NFkB,7,2.88069492650783e-36,5.76138985301568e-36,0.576801011786056,0.576801011786056
VEGF,8,1.61059066907102e-21,2.81853367087428e-21,0.558186636973217,0.558186636973217
JAK-STAT,9,3.4814885587485e-19,5.41564886916434e-19,0.554673551329328,0.554673551329328
PI3K,10,1.6856472454679e-13,2.35990614365506e-13,0.45497998053335,0.45497998053335
Hypoxia,11,4.57680677998325e-13,5.82502681088776e-13,0.544199732923862,0.544199732923862
Trail,12,4.98232591670132e-12,5.81271356948487e-12,0.457823145824096,0.457823145824096
p53,13,6.8451872400599e-12,7.37174010467989e-12,0.541900633134607,0.541900633134607
Estrogen,14,0.438568814640503,0.438568814640503,0.495269274288244,0.495269274288244
