gene,cluster,annotation
DBNDD2,4,Pericyte
SYS1-DBNDD2,4,Pericyte
JUND,3,Fibroblast
ZFP36,2,Myofibroblast
RPL3,1,Ribosome
RPL3P4,1,Ribosome
COL4A2,2,Myofibroblast
MT2A,1,Ribosome
NNMT,2,Myofibroblast
HLA-C,1,Ribosome
B2M,2,Myofibroblast
COL1A2,2,Myofibroblast
COL1A1,2,Myofibroblast
RGS5.1,4,Pericyte
COL4A1,2,Myofibroblast
IGFBP6,3,Fibroblast
RPL13A,1,Ribosome
COL3A1,2,Myofibroblast
GSN,3,Fibroblast
ADIRF,4,Pericyte
C3,3,Fibroblast
NDUFA4L2,4,Pericyte
LUM,4,Pericyte
S100A6,3,Fibroblast
CPE,4,Pericyte
C2ORF40,2,Myofibroblast
RPS3AP6,1,Ribosome
CAV1,4,Pericyte
EPAS1,2,Myofibroblast
FABP4,4,Pericyte
POSTN,2,Myofibroblast
TIMP1,2,Myofibroblast
CAV2,4,Pericyte
VCAN,2,Myofibroblast
HIGD1B,4,Pericyte
RPL13AP5,1,Ribosome
TM4SF1,4,Pericyte
SFRP1,4,Pericyte
NTM,2,Myofibroblast
RPS6,1,Ribosome
PCOLCE2,3,Fibroblast
OGN,3,Fibroblast
ADH1B,2,Myofibroblast
CTHRC1,2,Myofibroblast
RPS18,1,Ribosome
EMILIN1,4,Pericyte
S100A10,3,Fibroblast
FABP5,4,Pericyte
RPS12,1,Ribosome
RPL39,1,Ribosome
COL10A1,2,Myofibroblast
RPS2,1,Ribosome
PDGFRA,4,Pericyte
ANXA5,2,Myofibroblast
IGFBP5,2,Myofibroblast
RPL27A,1,Ribosome
RPL37A,1,Ribosome
COMP,2,Myofibroblast
NPY1R,2,Myofibroblast
CFD,3,Fibroblast
FAP,2,Myofibroblast
RPL34,1,Ribosome
CHRDL1,3,Fibroblast
HOPX,2,Myofibroblast
PDGFC,2,Myofibroblast
S100A4,3,Fibroblast
RPLP1,1,Ribosome
GPC3,4,Pericyte
CST3,3,Fibroblast
MTATP6P1,1,Ribosome
COX4I2,4,Pericyte
BGN,2,Myofibroblast
CPM,4,Pericyte
TPT1,1,Ribosome
RPS23,1,Ribosome
RAMP1,2,Myofibroblast
RPS8,1,Ribosome
TNC,2,Myofibroblast
RPL41,1,Ribosome
RPL26,1,Ribosome
RSPO3,3,Fibroblast
RPL23,1,Ribosome
SOD3,3,Fibroblast
COL6A3,2,Myofibroblast
RPS20,1,Ribosome
RPS15A,1,Ribosome
PLXDC2,2,Myofibroblast
RPL12,1,Ribosome
RPL37,1,Ribosome
COL8A1,2,Myofibroblast
SERPING1,3,Fibroblast
COL15A1,2,Myofibroblast
LAMP5,2,Myofibroblast
TMSB10,2,Myofibroblast
LHFPL6,4,Pericyte
SLIT3,2,Myofibroblast
CLU,3,Fibroblast
GJA4,4,Pericyte
HLA-DRA,3,Fibroblast
AEBP1,2,Myofibroblast
APCDD1,2,Myofibroblast
ENPP1,2,Myofibroblast
ISLR,2,Myofibroblast
MAP1B,4,Pericyte
TOB1,3,Fibroblast
F3,3,Fibroblast
MCAM,4,Pericyte
SLC7A2,3,Fibroblast
USP53,3,Fibroblast
RPS24,1,Ribosome
MARCKS,2,Myofibroblast
INHBA,2,Myofibroblast
CARMN,1,Ribosome
LAMA2,2,Myofibroblast
COL5A2,2,Myofibroblast
MOXD1,4,Pericyte
RPL30,1,Ribosome
IMPA2,4,Pericyte
TSC22D1,3,Fibroblast
CKB,3,Fibroblast
NOTCH3,4,Pericyte
PLAC9,4,Pericyte
ENG,4,Pericyte
DIO2,2,Myofibroblast
GJC1,4,Pericyte
MIF,2,Myofibroblast
LXN,2,Myofibroblast
ADGRF5,4,Pericyte
PPIC,2,Myofibroblast
PARM1,4,Pericyte
WNT4,2,Myofibroblast
RPL7,1,Ribosome
ENC1,2,Myofibroblast
COL12A1,4,Pericyte
RPLP2,1,Ribosome
NRGN,4,Pericyte
ISYNA1,4,Pericyte
TXN,2,Myofibroblast
RPL28,1,Ribosome
CYP1B1,4,Pericyte
KCNE4,4,Pericyte
NTRK3,4,Pericyte
PPIB,2,Myofibroblast
MMP11,2,Myofibroblast
FHL3,2,Myofibroblast
MEF2C,4,Pericyte
ESAM,4,Pericyte
EBF1,4,Pericyte
RPL38,1,Ribosome
ADGRE2,2,Myofibroblast
NKD2,2,Myofibroblast
FNDC1,2,Myofibroblast
AGTR1,4,Pericyte
OSTC,2,Myofibroblast
ETV1,2,Myofibroblast
FRMD3,4,Pericyte
SELENBP1,4,Pericyte
RPL36A,1,Ribosome
RPL31,1,Ribosome
FP671120.4,3,Fibroblast
FHL5,4,Pericyte
PTH1R,4,Pericyte
CSRP2,4,Pericyte
ITGA7,4,Pericyte
PTP4A3,4,Pericyte
CDH11,2,Myofibroblast
KLHL23,4,Pericyte
FAM13C,2,Myofibroblast
SLC38A2,3,Fibroblast
RPL36,1,Ribosome
TTC3,2,Myofibroblast
EGR2,2,Myofibroblast
KIF26B,2,Myofibroblast
LEF1,2,Myofibroblast
PCDH9,4,Pericyte
TMTC1,4,Pericyte
JAG1,4,Pericyte
SEPT7,4,Pericyte
AGT,4,Pericyte
LOXL1,2,Myofibroblast
EPHX1,1,Ribosome
WNT6,4,Pericyte
CD44,2,Myofibroblast
NAP1L1,1,Ribosome
CNTN4,4,Pericyte
TMEM47,4,Pericyte
PAWR,4,Pericyte
RCAN2,4,Pericyte
CRYAB,3,Fibroblast
SPON1,4,Pericyte
SLC25A4,4,Pericyte
NDRG2,4,Pericyte
COBLL1,4,Pericyte
HRC,4,Pericyte
PTK7,2,Myofibroblast
MUSTN1,4,Pericyte
NGF,4,Pericyte
ARHGAP18,2,Myofibroblast
MEST,2,Myofibroblast
FAM129A,4,Pericyte
