Gene	Cell Type	General Cell Type
Vamp1	Neuronal Cell (Axon Only)	Neuronal
Ngf	Neuronal Cell (Axon Only)	Neuronal
Bdnf	Neuronal Cell (Axon Only)	Neuronal
Nes	Neuronal Cell (Axon Only)	Neuronal
Map2	Neuronal Cell (Axon Only)	Neuronal
Slc18a2	Neuronal Cell (Axon Only)	Neuronal
Nefl	Neuronal Cell (Axon Only)	Neuronal
Stx1a	Neuronal Cell (Axon Only)	Neuronal
Cd4	T-lymphocyte (regulatory)	Hematopoietic
Foxp3	T-lymphocyte (regulatory)	Hematopoietic
Il2ra	T-lymphocyte (regulatory)	Hematopoietic
Fcgr3	T-lymphocyte (natural killer)	Hematopoietic
Ncam1	T-lymphocyte (natural killer)	Hematopoietic
Cd8a	T-lymphocyte (natural killer)	Hematopoietic
Cd4	T-lymphocyte (natural killer)	Hematopoietic
Gzma	T-lymphocyte (natural killer)	Hematopoietic
Klrb1c	T-lymphocyte (natural killer)	Hematopoietic
Il4ra	T-lymphocyte (helper)	Hematopoietic
Cd4	T-lymphocyte (helper)	Hematopoietic
Cd40lg	T-lymphocyte (helper)	Hematopoietic
Adgre1	Polymorphonuclear Leukocyte	Hematopoietic
Itgb2	Polymorphonuclear Leukocyte	Hematopoietic
Asb2	Polymorphonuclear Leukocyte	Hematopoietic
Csf3r	Polymorphonuclear Leukocyte	Hematopoietic
Pram1	Polymorphonuclear Leukocyte	Hematopoietic
cd38	Plasma Cell	Hematopoietic
Sdc1	Plasma Cell	Hematopoietic
cd93	Plasma Cell	Hematopoietic
cd27	Plasma Cell	Hematopoietic
prdm1	Plasma Cell	Hematopoietic
Irf4	Plasma Cell	Hematopoietic
Ly6c1	Monocyte	Hematopoietic
Fcgr2b	Monocyte	Hematopoietic
Csf1r	Monocyte	Hematopoietic
Pecam1	Monocyte	Hematopoietic
Fcgr3	Monocyte	Hematopoietic
Cd14	Monocyte	Hematopoietic
Ptprc	Monocyte	Hematopoietic
Adgre1	Monocyte	Hematopoietic
Ccr2	Monocyte	Hematopoietic
Ly6c2	Monocyte	Hematopoietic
Cx3cr1	Monocyte	Hematopoietic
Itgam	Monocyte	Hematopoietic
Sell	Monocyte	Hematopoietic
Itgal	Monocyte	Hematopoietic
Cd44	Monocyte	Hematopoietic
Spn	Monocyte	Hematopoietic
Ly6g	Monocyte	Hematopoietic
Itga2b	Megakaryocyte	Hematopoietic
Matk	Megakaryocyte	Hematopoietic
Cxcr2	Megakaryocyte	Hematopoietic
Pde6b	Megakaryocyte	Hematopoietic
Cxcr4	Megakaryocyte	Hematopoietic
Slamf1	Megakaryocyte	Hematopoietic
Gp5	Megakaryocyte	Hematopoietic
Cxcr1	Megakaryocyte	Hematopoietic
Mcemp1	Mast Cell	Hematopoietic
Milr1	Mast Cell	Hematopoietic
Fcer1a	Mast Cell	Hematopoietic
Ly6c1	Macrophage	Hematopoietic
H2-Ab1	Macrophage	Hematopoietic
