Gene	Cell_Type	Cell_Type2	Source
Vamp1	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Ngf	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Bdnf	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Nes	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Map2	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Slc18a2	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Nefl	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Stx1a	Neuronal Cell (Axon Only)	Neuronal	Clark2019
Cd4	T-lymphocyte (regulatory)	Hematopoietic	Clark2019
Foxp3	T-lymphocyte (regulatory)	Hematopoietic	Clark2019
Il2ra	T-lymphocyte (regulatory)	Hematopoietic	Clark2019
Fcgr3	T-lymphocyte (natural killer)	Hematopoietic	Clark2019
Ncam1	T-lymphocyte (natural killer)	Hematopoietic	Clark2019
Cd8a	T-lymphocyte (natural killer)	Hematopoietic	Clark2019
Cd4	T-lymphocyte (natural killer)	Hematopoietic	Clark2019
Gzma	T-lymphocyte (natural killer)	Hematopoietic	Clark2019
Klrb1c	T-lymphocyte (natural killer)	Hematopoietic	Clark2019
Il4ra	T-lymphocyte (helper)	Hematopoietic	Clark2019
Cd4	T-lymphocyte (helper)	Hematopoietic	Clark2019
Cd40lg	T-lymphocyte (helper)	Hematopoietic	Clark2019
Adgre1	Polymorphonuclear Leukocyte	Hematopoietic	Clark2019
Itgb2	Polymorphonuclear Leukocyte	Hematopoietic	Clark2019
Asb2	Polymorphonuclear Leukocyte	Hematopoietic	Clark2019
Csf3r	Polymorphonuclear Leukocyte	Hematopoietic	Clark2019
Pram1	Polymorphonuclear Leukocyte	Hematopoietic	Clark2019
cd38	Plasma Cell	Hematopoietic	Clark2019
Sdc1	Plasma Cell	Hematopoietic	Clark2019
cd93	Plasma Cell	Hematopoietic	Clark2019
cd27	Plasma Cell	Hematopoietic	Clark2019
prdm1	Plasma Cell	Hematopoietic	Clark2019
Irf4	Plasma Cell	Hematopoietic	Clark2019
Ly6c1	Monocyte	Hematopoietic	Clark2019
Fcgr2b	Monocyte	Hematopoietic	Clark2019
Csf1r	Monocyte	Hematopoietic	Clark2019
Pecam1	Monocyte	Hematopoietic	Clark2019
Fcgr3	Monocyte	Hematopoietic	Clark2019
Cd14	Monocyte	Hematopoietic	Clark2019
Ptprc	Monocyte	Hematopoietic	Clark2019
Adgre1	Monocyte	Hematopoietic	Clark2019
Ccr2	Monocyte	Hematopoietic	Clark2019
Ly6c2	Monocyte	Hematopoietic	Clark2019
Cx3cr1	Monocyte	Hematopoietic	Clark2019
Itgam	Monocyte	Hematopoietic	Clark2019
Sell	Monocyte	Hematopoietic	Clark2019
Itgal	Monocyte	Hematopoietic	Clark2019
Cd44	Monocyte	Hematopoietic	Clark2019
Spn	Monocyte	Hematopoietic	Clark2019
Ly6g	Monocyte	Hematopoietic	Clark2019
Itga2b	Megakaryocyte	Hematopoietic	Clark2019
Matk	Megakaryocyte	Hematopoietic	Clark2019
Cxcr2	Megakaryocyte	Hematopoietic	Clark2019
Pde6b	Megakaryocyte	Hematopoietic	Clark2019
Cxcr4	Megakaryocyte	Hematopoietic	Clark2019
Slamf1	Megakaryocyte	Hematopoietic	Clark2019
Gp5	Megakaryocyte	Hematopoietic	Clark2019
Cxcr1	Megakaryocyte	Hematopoietic	Clark2019
Mcemp1	Mast Cell	Hematopoietic	Clark2019
Milr1	Mast Cell	Hematopoietic	Clark2019
