Division	Category	Gene Symbol
Core matrisome	ECM Glycoproteins	ABI3BP
Core matrisome	ECM Glycoproteins	ADIPOQ
Core matrisome	ECM Glycoproteins	AEBP1
Core matrisome	ECM Glycoproteins	AGRN
Core matrisome	ECM Glycoproteins	AMBN
Core matrisome	ECM Glycoproteins	AMELX
Core matrisome	ECM Glycoproteins	AMELY
Core matrisome	ECM Glycoproteins	BGLAP
Core matrisome	ECM Glycoproteins	BMPER
Core matrisome	ECM Glycoproteins	BSPH1
Core matrisome	ECM Glycoproteins	CDCP2
Core matrisome	ECM Glycoproteins	CILP
Core matrisome	ECM Glycoproteins	CILP2
Core matrisome	ECM Glycoproteins	COCH
Core matrisome	ECM Glycoproteins	COLQ
Core matrisome	ECM Glycoproteins	COMP
Core matrisome	ECM Glycoproteins	CRELD1
Core matrisome	ECM Glycoproteins	CRELD2
Core matrisome	ECM Glycoproteins	CRIM1
Core matrisome	ECM Glycoproteins	CRISPLD1
Core matrisome	ECM Glycoproteins	CRISPLD2
Core matrisome	ECM Glycoproteins	CTGF
Core matrisome	ECM Glycoproteins	CTHRC1
Core matrisome	ECM Glycoproteins	CYR61
Core matrisome	ECM Glycoproteins	DDX26B
Core matrisome	ECM Glycoproteins	DMBT1
Core matrisome	ECM Glycoproteins	DMP1
Core matrisome	ECM Glycoproteins	DPT
Core matrisome	ECM Glycoproteins	DSPP
Core matrisome	ECM Glycoproteins	ECM1
Core matrisome	ECM Glycoproteins	ECM2
Core matrisome	ECM Glycoproteins	EDIL3
Core matrisome	ECM Glycoproteins	EFEMP1
Core matrisome	ECM Glycoproteins	EFEMP2
Core matrisome	ECM Glycoproteins	EGFLAM
Core matrisome	ECM Glycoproteins	ELN
Core matrisome	ECM Glycoproteins	ELSPBP1
Core matrisome	ECM Glycoproteins	EMID1
Core matrisome	ECM Glycoproteins	EMILIN1
Core matrisome	ECM Glycoproteins	EMILIN2
Core matrisome	ECM Glycoproteins	EMILIN3
Core matrisome	ECM Glycoproteins	EYS
Core matrisome	ECM Glycoproteins	FBLN1
Core matrisome	ECM Glycoproteins	FBLN2
Core matrisome	ECM Glycoproteins	FBLN5
Core matrisome	ECM Glycoproteins	FBLN7
Core matrisome	ECM Glycoproteins	FBN1
Core matrisome	ECM Glycoproteins	FBN2
Core matrisome	ECM Glycoproteins	FBN3
Core matrisome	ECM Glycoproteins	FGA
Core matrisome	ECM Glycoproteins	FGB
Core matrisome	ECM Glycoproteins	FGG
Core matrisome	ECM Glycoproteins	FGL1
Core matrisome	ECM Glycoproteins	FGL2
Core matrisome	ECM Glycoproteins	FN1
Core matrisome	ECM Glycoproteins	FNDC1
Core matrisome	ECM Glycoproteins	FNDC7
Core matrisome	ECM Glycoproteins	FNDC8
Core matrisome	ECM Glycoproteins	FRAS1
Core matrisome	ECM Glycoproteins	GAS6
Core matrisome	ECM Glycoproteins	GLDN
Core matrisome	ECM Glycoproteins	HMCN1
Core matrisome	ECM Glycoproteins	HMCN2
Core matrisome	ECM Glycoproteins	IBSP
Core matrisome	ECM Glycoproteins	IGFALS
Core matrisome	ECM Glycoproteins	IGFBP1
Core matrisome	ECM Glycoproteins	IGFBP2
Core matrisome	ECM Glycoproteins	IGFBP3
Core matrisome	ECM Glycoproteins	IGFBP4
Core matrisome	ECM Glycoproteins	IGFBP5
Core matrisome	ECM Glycoproteins	IGFBP6
Core matrisome	ECM Glycoproteins	IGFBP7
Core matrisome	ECM Glycoproteins	IGFBPL1
Core matrisome	ECM Glycoproteins	IGSF10
Core matrisome	ECM Glycoproteins	KAL1
Core matrisome	ECM Glycoproteins	KCP
Core matrisome	ECM Glycoproteins	LAMA1
Core matrisome	ECM Glycoproteins	LAMA2
Core matrisome	ECM Glycoproteins	LAMA3
Core matrisome	ECM Glycoproteins	LAMA4
Core matrisome	ECM Glycoproteins	LAMA5
Core matrisome	ECM Glycoproteins	LAMB1
Core matrisome	ECM Glycoproteins	LAMB2
Core matrisome	ECM Glycoproteins	LAMB3
Core matrisome	ECM Glycoproteins	LAMB4
Core matrisome	ECM Glycoproteins	LAMC1
Core matrisome	ECM Glycoproteins	LAMC2
Core matrisome	ECM Glycoproteins	LAMC3
Core matrisome	ECM Glycoproteins	LGI1
Core matrisome	ECM Glycoproteins	LGI2
Core matrisome	ECM Glycoproteins	LGI3
Core matrisome	ECM Glycoproteins	LGI4
Core matrisome	ECM Glycoproteins	LRG1
